,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
73,none,52.50948,13.46119,Apartment,Entire home/apt,3,1.0,1.0,59.0,Friedrichshain,5,1125
74,none,52.500890000000005,13.34692,Apartment,Entire home/apt,3,1.0,3.0,119.0,Schöneberg,1,365
76,none,52.52811,13.39195,Apartment,Private room,2,1.0,1.0,42.0,Mitte,4,180
77,none,52.476780000000005,13.424370000000001,Apartment,Entire home/apt,4,1.0,1.0,55.0,Neukölln,7,180
78,none,52.518190000000004,13.46122,Loft,Private room,3,1.0,1.0,70.0,Friedrichshain,3,7
79,none,52.48174,13.359470000000002,Apartment,Entire home/apt,2,1.0,1.0,55.0,Schöneberg,3,365
82,none,52.529819999999994,13.4026,Apartment,Private room,2,1.0,1.0,40.0,Mitte,2,365
83,none,52.49678,13.416789999999999,Apartment,Entire home/apt,4,1.0,1.0,81.0,Kreuzberg,7,50
87,none,52.53083,13.342210000000001,Apartment,Private room,4,1.0,1.0,36.0,Moabit,2,90
88,none,52.47831,13.3114,Apartment,Entire home/apt,6,1.0,2.0,161.0,Wilmersdorf,2,730
89,none,52.59723,13.303279999999999,Townhouse,Entire home/apt,6,1.5,2.0,65.0,Tegel,1,120
91,none,52.49738000000001,13.436370000000002,Apartment,Entire home/apt,4,1.0,2.0,110.0,Kreuzberg,5,60
92,none,52.50273000000001,13.479510000000001,Apartment,Private room,2,1.0,1.0,30.0,Rummelsburg,2,25
93,none,52.50189,13.43801,Condominium,Private room,2,1.0,1.0,49.0,Kreuzberg,2,15
94,none,52.58055,13.44539,Apartment,Entire home/apt,3,1.0,1.0,49.0,Heinersdorf,2,1125
95,none,52.469809999999995,13.330370000000002,Apartment,Private room,2,1.5,1.0,30.0,Friedenau,1,730
96,none,52.46747,13.31374,Apartment,Private room,1,1.0,1.0,23.0,Wilmersdorf,6,180
97,none,52.5453,13.39729,Apartment,Private room,2,1.0,1.0,40.0,Wedding,5,21
98,none,52.535230000000006,13.41945,Lighthouse,Private room,2,1.0,1.0,65.0,Prenzlauer Berg,3,21
99,none,52.544109999999996,13.4141,Apartment,Entire home/apt,2,1.0,1.0,70.0,Prenzlauer Berg,4,30
100,none,52.53055,13.407020000000001,Apartment,Entire home/apt,5,2.0,2.0,80.0,Prenzlauer Berg,2,365
101,none,52.528859999999995,13.39684,Apartment,Private room,2,1.0,1.0,42.0,Mitte,1,730
107,none,52.50254,13.39134,Apartment,Entire home/apt,6,2.0,2.0,264.0,Kreuzberg,1,1125
108,none,52.572030000000005,13.35079,Apartment,Private room,2,2.0,3.0,20.0,Reinickendorf,1,61
109,none,52.493,13.44089,Apartment,Entire home/apt,2,1.0,1.0,70.0,Kreuzberg,3,730
110,none,52.47894,13.327160000000001,Apartment,Entire home/apt,3,1.0,1.0,59.0,Wilmersdorf,2,1825
111,none,52.48865,13.42896,Apartment,Entire home/apt,3,1.0,1.0,75.0,Neukölln,2,180
112,none,52.56868000000001,13.39969,Apartment,Entire home/apt,12,1.5,3.0,170.0,Pankow,2,365
115,none,52.483909999999995,13.46636,House,Private room,3,1.0,1.0,40.0,Plänterwald,1,30
116,none,52.48746,13.391470000000002,Apartment,Entire home/apt,2,1.0,1.0,88.0,Kreuzberg,4,61
117,none,52.52735,13.38986,Apartment,Entire home/apt,2,1.0,1.0,64.0,Mitte,1,30
118,none,52.500009999999996,13.30349,Apartment,Entire home/apt,4,1.0,1.0,69.0,Charlottenburg,2,365
119,none,52.483509999999995,13.43555,Apartment,Private room,1,1.5,1.0,29.0,Neukölln,7,60
123,none,52.44409,13.29434,Apartment,Entire home/apt,2,1.0,1.0,59.0,Lichterfelde,3,31
