,experiences_offered,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,neighbourhood,minimum_nights,maximum_nights
5760,none,52.485440000000004,13.375770000000001,Apartment,Private room,1,1.0,1.0,21.0,Kreuzberg,1,1125
5762,none,52.51308,13.591420000000001,House,Private room,1,1.0,1.0,35.0,Kaulsdorf,5,1125
5763,none,52.54511,13.413739999999999,Apartment,Private room,2,1.0,1.0,20.0,Prenzlauer Berg,2,60
5764,none,52.493269999999995,13.436129999999999,Apartment,Entire home/apt,2,1.0,1.0,42.0,Kreuzberg,2,1125
5765,none,52.513780000000004,13.462110000000001,Apartment,Private room,1,1.0,1.0,20.0,Friedrichshain,4,1125
5766,none,52.51606999999999,13.46376,Apartment,Entire home/apt,2,1.0,1.0,45.0,Friedrichshain,5,1125
5767,none,52.49037,13.429960000000001,Apartment,Private room,1,1.0,1.0,25.0,Neukölln,4,18
5768,none,52.514019999999995,13.30361,Apartment,Private room,2,1.0,1.0,35.0,Charlottenburg,2,1125
5769,none,52.53576999999999,13.43251,Apartment,Entire home/apt,2,1.0,1.0,90.0,Prenzlauer Berg,1,10
5770,none,52.5333,13.35154,Apartment,Entire home/apt,8,1.0,3.0,49.0,Moabit,1,1125
5771,none,52.55013,13.35384,Apartment,Private room,2,1.0,1.0,25.0,Wedding,1,1125
5772,none,52.475809999999996,13.485370000000001,Bed and breakfast,Private room,2,1.0,1.0,99.0,Plänterwald,4,14
5773,none,52.554080000000006,13.413739999999999,Apartment,Entire home/apt,2,1.0,1.0,60.0,Prenzlauer Berg,1,1125
5775,none,52.498780000000004,13.444420000000001,Apartment,Entire home/apt,1,1.0,1.0,20.0,Kreuzberg,6,1125
5776,none,52.50399,13.408629999999999,Apartment,Private room,2,1.0,1.0,90.0,Kreuzberg,1,1125
5778,none,52.48953,13.391160000000001,Apartment,Private room,2,1.0,1.0,37.0,Kreuzberg,2,16
5779,none,52.48417,13.427079999999998,Apartment,Private room,2,1.5,1.0,30.0,Neukölln,4,1125
5780,none,52.49502,13.40575,Apartment,Entire home/apt,4,1.5,1.0,100.0,Kreuzberg,1,1125
5781,none,52.5109,13.462270000000002,Apartment,Private room,2,1.0,1.0,23.0,Friedrichshain,1,1125
5782,none,52.475809999999996,13.44595,Apartment,Private room,2,1.0,1.0,45.0,Neukölln,1,1125
5783,none,52.54845,13.412410000000001,Apartment,Entire home/apt,2,1.0,1.0,48.0,Prenzlauer Berg,1,1125
5785,none,52.51265,13.46144,Apartment,Private room,2,1.0,1.0,23.0,Friedrichshain,1,1125
5786,none,52.501380000000005,13.428329999999999,Apartment,Entire home/apt,2,1.0,1.0,115.0,Kreuzberg,2,1125
5787,none,52.538940000000004,13.4208,Apartment,Private room,2,1.0,1.0,30.0,Prenzlauer Berg,3,1125
5789,none,52.49888000000001,13.46212,Apartment,Entire home/apt,2,1.0,1.0,70.0,Friedrichshain,1,1125
5790,none,52.50016,13.368739999999999,Apartment,Entire home/apt,2,1.0,0.0,107.0,Tiergarten,3,14
5791,none,52.521319999999996,13.633870000000002,Apartment,Entire home/apt,4,1.0,1.0,65.0,Mahlsdorf,2,1125
5792,none,52.509319999999995,13.46849,Apartment,Entire home/apt,3,1.0,1.0,35.0,Friedrichshain,1,1125
5793,none,52.48783,13.427679999999999,Apartment,Entire home/apt,2,1.0,1.0,60.0,Neukölln,1,1125
5795,none,52.54139,13.413070000000001,Apartment,Private room,2,1.0,1.0,17.0,Prenzlauer Berg,6,1125
5796,none,52.50696,13.470820000000002,Apartment,Private room,2,1.0,1.0,25.0,Friedrichshain,3,10
5797,none,52.47302,13.425329999999999,Apartment,Entire home/apt,2,1.0,1.0,40.0,Neukölln,2,14
5798,none,52.50645,13.348370000000001,Apartment,Entire home/apt,1,1.0,1.0,44.0,Tiergarten,3,1125
5799,none,52.510259999999995,13.47047,Apartment,Private room,2,1.0,1.0,29.0,Friedrichshain,1,1125
5800,none,52.51818000000001,13.290510000000001,Other,Private room,4,3.0,1.0,150.0,Charlottenburg,2,1125
5801,none,52.52285,13.44638,Apartment,Private room,2,1.0,1.0,50.0,Friedrichshain,1,1125
5802,none,52.512730000000005,13.38132,Apartment,Private room,2,1.0,1.0,49.0,Mitte,2,1125
5803,none,52.48165,13.449160000000001,Apartment,Entire home/apt,6,1.0,2.0,90.0,Neukölln,4,1125
5804,none,52.544540000000005,13.3694,Apartment,Private room,2,1.0,1.0,50.0,Wedding,1,1125
5805,none,52.48321,13.35808,Apartment,Private room,2,1.0,1.0,38.0,Schöneberg,2,1125
5806,none,52.54224,13.4121,Apartment,Entire home/apt,4,1.0,2.0,180.0,Prenzlauer Berg,3,5
5808,none,52.47465,13.606179999999998,House,Entire home/apt,3,1.0,1.0,55.0,Mahlsdorf,1,1125
5809,none,52.538230000000006,13.40288,Apartment,Entire home/apt,2,1.0,1.0,120.0,Mitte,3,1125
5811,none,52.48986,13.416879999999999,Apartment,Private room,2,1.0,1.0,35.0,Kreuzberg,1,30
5813,none,52.53139,13.42281,Apartment,Private room,3,1.5,1.0,50.0,Prenzlauer Berg,2,1125
5814,none,52.49378000000001,13.4363,Apartment,Entire home/apt,2,1.0,1.0,45.0,Kreuzberg,7,31
5815,none,52.5318,13.400770000000001,Apartment,Private room,1,1.5,1.0,34.0,Mitte,3,1125
5816,none,52.49135,13.433629999999999,Apartment,Entire home/apt,3,1.0,2.0,20.0,Neukölln,3,1125
5817,none,52.4837,13.434610000000001,Apartment,Private room,1,1.0,1.0,25.0,Neukölln,1,1125
5818,none,52.54659,13.41505,Apartment,Private room,2,1.5,1.0,19.0,Prenzlauer Berg,3,5
5819,none,52.54744,13.4151,Apartment,Private room,2,1.5,1.0,20.0,Prenzlauer Berg,3,10
5820,none,52.499140000000004,13.340489999999999,Apartment,Entire home/apt,4,1.0,1.0,70.0,Schöneberg,1,1125
5821,none,52.448840000000004,13.63904,Apartment,Entire home/apt,8,2.5,5.0,95.0,Friedrichshagen,1,1125
5823,none,52.551069999999996,13.435310000000001,Apartment,Entire home/apt,4,2.0,3.0,129.0,Weißensee,7,1125
5825,none,52.50205,13.42102,Apartment,Private room,1,1.0,1.0,32.0,Kreuzberg,2,1125
5826,none,52.51008,13.498610000000001,Apartment,Private room,1,1.0,1.0,20.0,Rummelsburg,1,1125
5827,none,52.54524,13.377870000000001,Apartment,Entire home/apt,4,1.0,2.0,62.0,Wedding,1,1125
5828,none,52.495419999999996,13.347489999999999,Apartment,Private room,2,1.5,1.0,25.0,Schöneberg,7,21
5829,none,52.48876,13.454410000000001,Apartment,Private room,3,1.0,1.0,40.0,Alt-Treptow,5,1125
5830,none,52.51011999999999,13.21928,Townhouse,Private room,2,1.5,1.0,43.0,Westend,4,1125
5831,none,52.43343,13.25772,Apartment,Private room,2,2.0,1.0,40.0,Zehlendorf,1,1125
5832,none,52.48591999999999,13.464129999999999,Apartment,Entire home/apt,4,1.0,1.0,70.0,Plänterwald,2,14
5833,none,52.494409999999995,13.427610000000001,Apartment,Private room,2,1.0,1.0,35.0,Kreuzberg,1,1125
5835,none,52.486430000000006,13.39809,Apartment,Private room,2,1.0,1.0,29.0,Kreuzberg,2,1125
5836,none,52.53966,13.419939999999999,Apartment,Private room,2,1.0,1.0,50.0,Prenzlauer Berg,1,7
5837,none,52.490159999999996,13.43464,Apartment,Private room,1,1.0,1.0,21.0,Neukölln,3,1125
5838,none,52.52893,13.41151,Apartment,Private room,2,1.0,1.0,49.0,Prenzlauer Berg,2,1125
5842,none,52.47841999999999,13.5244,Apartment,Private room,2,1.0,1.0,45.0,Karlshorst,2,31
5845,none,52.49211999999999,13.45609,Apartment,Private room,2,1.0,1.0,35.0,Alt-Treptow,2,1125
5846,none,52.49224,13.427270000000002,Apartment,Private room,2,1.0,1.0,25.0,Neukölln,1,7
5847,none,52.49904,13.43935,Apartment,Private room,1,1.0,1.0,17.0,Kreuzberg,1,1125
5848,none,52.53944,13.41252,Apartment,Private room,2,2.0,1.0,37.0,Prenzlauer Berg,1,4
5849,none,52.55483,13.412720000000002,Apartment,Private room,1,1.0,1.0,40.0,Prenzlauer Berg,2,1125
5850,none,52.514619999999994,13.468810000000001,Apartment,Private room,2,1.0,1.0,25.0,Friedrichshain,7,1125
5851,none,52.50014,13.445470000000002,Apartment,Entire home/apt,3,1.0,1.0,50.0,Kreuzberg,3,1125
5852,none,52.49021,13.39285,Apartment,Shared room,1,1.0,1.0,37.0,Kreuzberg,3,1125
5853,none,52.495940000000004,13.40445,Apartment,Entire home/apt,4,1.0,1.0,60.0,Kreuzberg,4,1125
5854,none,52.51603000000001,13.29204,Apartment,Entire home/apt,4,1.0,2.0,49.0,Charlottenburg,1,7
5855,none,52.467690000000005,13.4322,Apartment,Private room,1,1.0,1.0,20.0,Neukölln,7,1125
5856,none,52.473180000000006,13.42481,Apartment,Entire home/apt,2,1.5,2.0,40.0,Neukölln,1,1125
5857,none,52.501569999999994,13.37279,Apartment,Entire home/apt,6,1.5,2.0,100.0,Kreuzberg,2,1125
5858,none,52.487809999999996,13.362870000000001,Apartment,Entire home/apt,4,2.0,2.0,120.0,Schöneberg,3,1125
5859,none,52.52973000000001,13.3958,Apartment,Private room,1,1.0,1.0,40.0,Mitte,3,60
5861,none,52.55331999999999,13.37895,Apartment,Private room,2,1.0,1.0,35.0,Wedding,2,1125
5862,none,52.488,13.34184,Apartment,Entire home/apt,2,1.0,1.0,79.0,Schöneberg,4,1125
5863,none,52.48335,13.437560000000001,Apartment,Private room,2,1.0,1.0,28.0,Neukölln,1,1
5864,none,52.54727,13.35092,Apartment,Entire home/apt,2,1.0,1.0,22.0,Wedding,2,1125
5868,none,52.512190000000004,13.26441,Apartment,Shared room,2,1.0,1.0,40.0,Westend,1,7
5869,none,52.52542,13.41583,Apartment,Entire home/apt,3,1.0,1.0,60.0,Mitte,1,1125
5870,none,52.46212,13.31657,Apartment,Entire home/apt,1,1.0,0.0,29.0,Steglitz,1,1125
5871,none,52.465430000000005,13.430179999999998,Apartment,Entire home/apt,4,1.0,0.0,34.0,Neukölln,3,1125
5872,none,52.52961,13.396920000000001,Apartment,Entire home/apt,7,1.0,2.0,179.0,Mitte,1,1125
5873,none,52.547430000000006,13.37175,Apartment,Entire home/apt,3,1.0,1.0,25.0,Wedding,1,1125
5874,none,52.489219999999996,13.45204,Apartment,Entire home/apt,3,1.0,2.0,45.0,Alt-Treptow,1,1125
5875,none,52.55758,13.422629999999998,Apartment,Private room,2,1.0,1.0,25.0,Pankow,2,1125
5876,none,52.521980000000006,13.425579999999998,Apartment,Private room,2,1.0,1.0,20.0,Mitte,1,1125
5877,none,52.48959,13.36113,Apartment,Entire home/apt,2,1.0,1.0,45.0,Schöneberg,1,1125
5878,none,52.47346999999999,13.314620000000001,Condominium,Private room,4,1.0,1.0,50.0,Wilmersdorf,2,1125
5879,none,52.5305,13.388739999999999,Apartment,Entire home/apt,2,1.0,1.0,40.0,Mitte,2,1125
5880,none,52.50715,13.4705,Apartment,Private room,1,0.5,1.0,18.0,Friedrichshain,1,1125
5881,none,52.48828,13.377479999999998,Apartment,Entire home/apt,4,1.5,2.0,130.0,Kreuzberg,3,1125
5884,none,52.51229,13.458620000000002,Apartment,Private room,2,1.0,1.0,28.0,Friedrichshain,2,10
5885,none,52.53144,13.392179999999998,Apartment,Entire home/apt,2,1.0,1.0,65.0,Mitte,3,1125
5886,none,52.48426,13.444510000000001,Apartment,Private room,2,1.0,1.0,30.0,Neukölln,3,1125
5887,none,52.534569999999995,13.4071,Apartment,Entire home/apt,2,1.0,1.0,95.0,Mitte,3,1125
5889,none,52.48214,13.273979999999998,Apartment,Entire home/apt,2,1.0,1.0,120.0,Grunewald,3,1125
5890,none,52.48339,13.440489999999999,Apartment,Private room,2,1.0,1.0,15.0,Neukölln,1,1125
5891,none,52.51084,13.46415,Apartment,Private room,2,1.0,1.0,35.0,Friedrichshain,2,100
5892,none,52.535959999999996,13.42997,Apartment,Entire home/apt,4,1.0,2.0,55.0,Prenzlauer Berg,1,1125
5893,none,52.53185,13.43679,Apartment,Entire home/apt,4,1.0,2.0,60.0,Prenzlauer Berg,4,30
5894,none,52.51195,13.457579999999998,Apartment,Entire home/apt,2,1.0,1.0,75.0,Friedrichshain,3,21
5895,none,52.53773,13.48741,Condominium,Private room,1,1.5,1.0,24.0,Alt-Hohenschönhausen,1,1125
5896,none,52.43846,13.48432,Cabin,Entire home/apt,2,0.5,1.0,23.0,Rudow,2,14
5897,none,52.47282,13.425670000000002,Apartment,Private room,2,1.0,1.0,30.0,Neukölln,1,1125
5898,none,52.459469999999996,13.38132,Apartment,Private room,1,1.0,1.0,35.0,Tempelhof,1,1125
5899,none,52.47149,13.433629999999999,Apartment,Entire home/apt,2,1.0,1.0,45.0,Neukölln,1,3
5900,none,52.46716,13.44418,Apartment,Private room,2,1.0,1.0,21.0,Neukölln,4,14
5901,none,52.481190000000005,13.38209,Apartment,Shared room,2,1.0,1.0,22.0,Tempelhof,1,1125
5902,none,52.54091999999999,13.424570000000001,Apartment,Entire home/apt,2,1.0,1.0,40.0,Prenzlauer Berg,1,1125
5903,none,52.45986,13.385860000000001,Apartment,Private room,2,2.0,1.0,25.0,Tempelhof,7,60
5904,none,52.50038000000001,13.29209,Apartment,Private room,2,1.0,1.0,30.0,Halensee,3,1124
5905,none,52.47286999999999,13.425270000000001,Apartment,Private room,1,1.0,1.0,25.0,Neukölln,1,1125
5906,none,52.49958,13.43689,Apartment,Private room,2,1.0,1.0,25.0,Kreuzberg,1,1125
5907,none,52.54861,13.432229999999999,Apartment,Private room,2,1.0,1.0,28.0,Prenzlauer Berg,3,1125
5909,none,52.43875,13.28121,Apartment,Entire home/apt,3,1.0,1.0,89.0,Zehlendorf,4,150
5910,none,52.54629,13.43839,Apartment,Entire home/apt,2,1.0,1.0,28.0,Prenzlauer Berg,1,1125
5911,none,52.49487,13.394720000000001,Apartment,Private room,5,1.0,2.0,120.0,Kreuzberg,1,10
5912,none,52.4829,13.431329999999999,Apartment,Entire home/apt,2,1.0,1.0,25.0,Neukölln,1,1125
5913,none,52.511340000000004,13.394639999999999,Apartment,Entire home/apt,4,1.0,2.0,55.0,Mitte,5,1125
5914,none,52.524319999999996,13.41373,Apartment,Entire home/apt,3,1.5,2.0,85.0,Mitte,1,1125
5917,none,52.4814,13.42175,Apartment,Entire home/apt,4,1.0,2.0,35.0,Neukölln,1,1125
5918,none,52.50806,13.467239999999999,Apartment,Entire home/apt,2,1.0,0.0,30.0,Friedrichshain,1,7
5919,none,52.449169999999995,13.27658,Apartment,Entire home/apt,2,1.0,1.0,50.0,Dahlem,1,1125
5920,none,52.51015,13.454529999999998,Apartment,Private room,2,1.0,1.0,35.0,Friedrichshain,1,1125
5921,none,52.46875,13.43149,Condominium,Entire home/apt,2,1.0,1.0,39.0,Neukölln,6,1125
5923,none,52.51831,13.46127,Apartment,Private room,2,1.0,1.0,50.0,Friedrichshain,1,1125
5925,none,52.51118,13.38396,Aparthotel,Private room,6,1.5,2.0,89.0,Mitte,1,365
5926,none,52.513259999999995,13.30424,Apartment,Entire home/apt,3,1.0,1.0,62.0,Charlottenburg,2,1125
5927,none,52.51894,13.45817,Apartment,Private room,2,1.0,1.0,50.0,Friedrichshain,2,30
5928,none,52.535790000000006,13.35694,Apartment,Private room,3,1.0,1.0,25.0,Moabit,2,1125
5930,none,52.50721,13.4224,Apartment,Entire home/apt,2,1.0,2.0,70.0,Mitte,3,1125
5931,none,52.496480000000005,13.41952,Apartment,Entire home/apt,2,1.0,2.0,110.0,Kreuzberg,2,1125
5932,none,52.54265,13.42562,Apartment,Private room,2,2.5,1.0,50.0,Prenzlauer Berg,4,60
5933,none,52.53077,13.38589,Apartment,Entire home/apt,2,1.5,1.0,150.0,Mitte,2,14
5934,none,52.539809999999996,13.425070000000002,Apartment,Entire home/apt,2,1.0,1.0,45.0,Prenzlauer Berg,5,7
5935,none,52.49455,13.403360000000001,Apartment,Private room,2,1.0,1.0,30.0,Kreuzberg,1,1125
5936,none,52.47458,13.428889999999999,Apartment,Entire home/apt,4,1.0,1.0,40.0,Neukölln,1,1125
5937,none,52.46046,13.420770000000001,Apartment,Entire home/apt,4,1.0,1.0,35.0,Tempelhof,1,1125
5938,none,52.555319999999995,13.43035,Apartment,Private room,3,1.5,1.0,25.0,Weißensee,3,1125
5940,none,52.51566,13.31436,Apartment,Private room,1,1.0,1.0,20.0,Charlottenburg,1,1125
5941,none,52.49476,13.434239999999999,Apartment,Entire home/apt,2,1.0,2.0,50.0,Kreuzberg,1,1125
5942,none,52.47818,13.424560000000001,Condominium,Private room,2,1.0,1.0,32.0,Neukölln,3,1125
5943,none,52.53151,13.39745,Apartment,Entire home/apt,2,1.0,1.0,90.0,Mitte,4,14
5944,none,52.5346,13.434120000000002,Apartment,Private room,1,1.0,1.0,35.0,Prenzlauer Berg,7,1125
5946,none,52.49853,13.438989999999999,Apartment,Entire home/apt,2,1.5,1.0,100.0,Kreuzberg,2,1125
5947,none,52.48246999999999,13.439570000000002,Apartment,Private room,2,1.0,1.0,35.0,Neukölln,1,1125
5949,none,52.4847,13.444679999999998,Apartment,Private room,1,1.0,1.0,30.0,Neukölln,6,1125
5950,none,52.474909999999994,13.444870000000002,Apartment,Private room,1,1.0,1.0,30.0,Neukölln,1,1125
5951,none,52.53679,13.380320000000001,Apartment,Entire home/apt,2,1.0,1.0,70.0,Mitte,4,1125
5952,none,52.52095,13.38253,Guest suite,Entire home/apt,4,1.0,3.0,114.0,Mitte,7,45
5953,none,52.498180000000005,13.34813,Apartment,Entire home/apt,5,1.0,1.0,90.0,Schöneberg,1,1125
5955,none,52.51286999999999,13.40966,Apartment,Private room,2,2.0,1.0,59.0,Mitte,2,1125
5956,none,52.48216,13.44271,Apartment,Private room,2,1.0,1.0,26.0,Neukölln,4,30
5957,none,52.48595,13.3982,Apartment,Private room,2,1.0,1.0,25.0,Kreuzberg,4,1125
5958,none,52.49983,13.42799,Apartment,Private room,2,1.0,1.0,25.0,Kreuzberg,1,1125
5959,none,52.516290000000005,13.42462,Hostel,Private room,2,1.0,1.0,110.0,Mitte,1,31
5960,none,52.51054,13.47342,Apartment,Private room,2,1.0,1.0,25.0,Friedrichshain,1,1125
5961,none,52.434619999999995,13.345429999999999,Apartment,Private room,2,2.0,1.0,28.0,Lankwitz,1,1125
5962,none,52.459990000000005,13.376579999999999,Apartment,Private room,2,2.0,1.0,30.0,Tempelhof,3,1125
5963,none,52.56077,13.37725,Apartment,Entire home/apt,2,1.0,1.0,35.0,Wedding,1,1125
5964,none,52.465309999999995,13.44028,Apartment,Private room,3,1.0,1.0,25.0,Neukölln,1,1125
5965,none,52.53975,13.426810000000001,Loft,Entire home/apt,2,2.0,1.0,38.0,Prenzlauer Berg,2,7
5966,none,52.51406,13.305570000000001,Apartment,Entire home/apt,2,1.0,1.0,40.0,Charlottenburg,2,1125
5967,none,52.50946999999999,13.4557,Apartment,Private room,1,2.0,1.0,15.0,Friedrichshain,1,1125
5968,none,52.51764,13.47279,Apartment,Private room,2,1.5,1.0,50.0,Friedrichshain,2,1125
5969,none,52.4553,13.518379999999999,Apartment,Private room,1,1.0,1.0,25.0,Niederschöneweide,2,6
5970,none,52.46938000000001,13.3082,Apartment,Entire home/apt,1,1.0,0.0,60.0,Wilmersdorf,1,1125
5971,none,52.537319999999994,13.41823,Apartment,Entire home/apt,3,1.0,2.0,105.0,Prenzlauer Berg,4,1125
5972,none,52.473569999999995,13.42555,Apartment,Entire home/apt,3,1.0,1.0,32.0,Neukölln,4,1125
5973,none,52.50088,13.36064,Loft,Entire home/apt,6,1.0,2.0,117.0,Tiergarten,3,1125
5974,none,52.49661999999999,13.48376,Townhouse,Private room,2,1.5,1.0,42.0,Rummelsburg,2,8
5975,none,52.491719999999994,13.42511,House,Private room,1,1.0,1.0,25.0,Neukölln,5,14
5976,none,52.53355,13.4307,Apartment,Private room,2,1.5,1.0,30.0,Prenzlauer Berg,1,1125
5977,none,52.54221999999999,13.37788,Apartment,Entire home/apt,3,1.0,1.0,50.0,Wedding,2,1125
5978,none,52.48931999999999,13.423860000000001,Apartment,Private room,2,1.0,1.0,40.0,Kreuzberg,3,1125
5979,none,52.50785,13.50376,Apartment,Entire home/apt,2,1.0,1.0,30.0,Friedrichsfelde,3,1125
5980,none,52.53937,13.40661,Apartment,Entire home/apt,2,1.0,2.0,55.0,Prenzlauer Berg,1,1125
5981,none,52.4871,13.43205,Apartment,Entire home/apt,3,1.0,1.0,67.0,Neukölln,2,1125
5982,none,52.55283000000001,13.361939999999999,Apartment,Shared room,1,1.0,1.0,18.0,Wedding,2,7
5983,none,52.49146,13.389829999999998,Apartment,Private room,2,1.0,1.0,22.0,Kreuzberg,2,1125
5986,none,52.49386,13.43896,Apartment,Private room,2,1.0,1.0,30.0,Kreuzberg,3,12
5987,none,52.53494,13.421120000000002,Apartment,Private room,2,1.0,1.0,20.0,Prenzlauer Berg,4,1125
5988,none,52.48939,13.43113,Apartment,Entire home/apt,2,1.0,2.0,44.0,Neukölln,7,30
5989,none,52.493280000000006,13.36341,Apartment,Private room,2,1.0,1.0,50.0,Schöneberg,1,1125
5991,none,52.5502,13.348279999999999,Apartment,Private room,1,1.0,1.0,19.0,Wedding,3,21
5992,none,52.50707,13.2972,Apartment,Private room,1,1.0,1.0,25.0,Charlottenburg,7,1125
5993,none,52.55027,13.34857,Apartment,Private room,1,1.0,1.0,39.0,Wedding,3,1125
5995,none,52.487759999999994,13.30391,Apartment,Private room,2,1.0,1.0,25.0,Wilmersdorf,1,1125
5996,none,52.525909999999996,13.4496,Apartment,Private room,1,1.0,1.0,150.0,Friedrichshain,1,1125
5997,none,52.48601,13.433489999999999,Apartment,Private room,3,1.0,1.0,35.0,Neukölln,1,1125
5998,none,52.413579999999996,13.5054,Apartment,Entire home/apt,6,1.0,2.0,90.0,Rudow,1,1125
5999,none,52.46461,13.33944,Guest suite,Entire home/apt,6,1.0,2.0,71.0,Steglitz,3,90
6000,none,52.47662,13.330570000000002,Apartment,Entire home/apt,3,1.0,1.0,27.0,Friedenau,1,30
6001,none,52.46855,13.33094,Townhouse,Private room,2,1.5,1.0,35.0,Friedenau,2,40
6002,none,52.48947,13.427010000000001,Apartment,Entire home/apt,2,1.0,1.0,120.0,Neukölln,2,1125
6003,none,52.48862,13.424539999999999,Apartment,Private room,2,1.0,1.0,60.0,Kreuzberg,2,1125
6004,none,52.508219999999994,13.4681,Apartment,Private room,1,1.0,1.0,30.0,Friedrichshain,1,1125
6005,none,52.50316,13.3455,Hostel,Hotel room,5,1.0,1.0,95.0,Schöneberg,1,1125
6006,none,52.456340000000004,13.58409,Apartment,Entire home/apt,4,1.0,1.0,85.0,Köpenick,5,250
6007,none,52.51006999999999,13.3059,Apartment,Private room,1,1.0,1.0,38.0,Charlottenburg,1,1125
6008,none,52.489619999999995,13.52333,Apartment,Private room,2,1.0,1.0,40.0,Karlshorst,1,1125
6009,none,52.467569999999995,13.38781,Apartment,Private room,2,1.0,1.0,120.0,Tempelhof,1,1125
6010,none,52.509190000000004,13.452770000000001,Apartment,Private room,2,1.0,1.0,35.0,Friedrichshain,1,1125
6011,none,52.49807,13.347979999999998,Apartment,Entire home/apt,5,1.0,1.0,90.0,Schöneberg,1,1125
6013,none,52.508759999999995,13.29987,Apartment,Entire home/apt,2,1.0,1.0,75.0,Charlottenburg,2,190
6014,none,52.52109,13.45091,Apartment,Private room,2,1.0,1.0,23.0,Friedrichshain,2,1125
6015,none,52.51311,13.469779999999998,Apartment,Private room,1,1.0,1.0,25.0,Friedrichshain,1,34
6017,none,52.55138,13.41399,Apartment,Entire home/apt,4,1.0,2.0,69.0,Prenzlauer Berg,1,1125
6018,none,52.493,13.43879,Apartment,Private room,1,1.0,1.0,15.0,Kreuzberg,1,1125
6020,none,52.513690000000004,13.44806,Apartment,Entire home/apt,4,1.0,2.0,50.0,Friedrichshain,1,1125
6021,none,52.522980000000004,13.45135,Apartment,Private room,2,1.0,1.0,30.0,Friedrichshain,1,1125
6022,none,52.53386,13.38885,Apartment,Entire home/apt,2,1.0,1.0,108.0,Mitte,3,1125
6023,none,52.51178,13.450520000000001,Apartment,Private room,2,1.0,1.0,26.0,Friedrichshain,6,23
6024,none,52.509080000000004,13.45071,Apartment,Private room,2,1.0,1.0,28.0,Friedrichshain,1,1125
6025,none,52.534440000000004,13.431170000000002,Apartment,Private room,2,1.0,1.0,85.0,Prenzlauer Berg,3,1125
6026,none,52.5132,13.45897,Apartment,Entire home/apt,2,1.0,1.0,30.0,Friedrichshain,2,4
6027,none,52.489059999999995,13.402429999999999,Apartment,Private room,2,1.0,1.0,30.0,Kreuzberg,1,30
6030,none,52.50645,13.46676,Apartment,Private room,2,1.0,1.0,25.0,Friedrichshain,1,1125
6031,none,52.4981,13.34804,Apartment,Entire home/apt,3,1.0,1.0,70.0,Schöneberg,1,1125
6032,none,52.52024,13.45336,Apartment,Private room,2,1.0,1.0,28.0,Friedrichshain,4,1125
6034,none,52.51931999999999,13.456520000000001,Apartment,Entire home/apt,4,1.0,1.0,75.0,Friedrichshain,5,1125
6035,none,52.481809999999996,13.428820000000002,Apartment,Entire home/apt,4,1.0,1.0,70.0,Neukölln,3,1125
6036,none,52.520469999999996,13.44975,Apartment,Entire home/apt,6,2.0,3.0,220.0,Friedrichshain,5,1125
6037,none,52.48211,13.44312,Apartment,Entire home/apt,3,1.0,1.0,55.0,Neukölln,1,1125
6038,none,52.52997,13.39814,Apartment,Entire home/apt,8,1.0,3.0,219.0,Mitte,1,1125
6039,none,52.52645,13.449160000000001,Apartment,Private room,2,1.0,1.0,50.0,Friedrichshain,1,7
6040,none,52.531319999999994,13.380279999999999,Apartment,Entire home/apt,2,1.0,1.0,80.0,Mitte,7,1125
6041,none,52.51473000000001,13.4749,Apartment,Private room,2,1.0,1.0,19.0,Friedrichshain,2,1125
6042,none,52.514219999999995,13.30799,Apartment,Private room,2,1.0,1.0,35.0,Charlottenburg,1,1125
6043,none,52.45186999999999,13.34555,Apartment,Private room,2,1.0,1.0,20.0,Steglitz,1,1125
6044,none,52.55291,13.412939999999999,Apartment,Private room,1,1.0,1.0,33.0,Prenzlauer Berg,3,20
6045,none,52.48655,13.391860000000001,Apartment,Private room,4,1.0,1.0,80.0,Kreuzberg,1,1125
6047,none,52.48137,13.44101,Apartment,Private room,2,1.0,1.0,30.0,Neukölln,1,1125
6048,none,52.548809999999996,13.402779999999998,Apartment,Private room,3,1.0,1.0,15.0,Prenzlauer Berg,7,42
6050,none,52.45973000000001,13.4275,Apartment,Entire home/apt,4,1.0,1.0,39.0,Britz,1,1125
6051,none,52.487030000000004,13.385470000000002,Apartment,Private room,2,1.0,1.0,25.0,Kreuzberg,1,1125
6052,none,52.55641,13.222579999999999,Boat,Entire home/apt,5,1.0,2.0,210.0,Haselhorst,2,1125
6053,none,52.482569999999996,13.43556,Apartment,Private room,2,1.0,1.0,30.0,Neukölln,1,1125
6054,none,52.55344,13.436470000000002,Apartment,Private room,2,1.0,1.0,60.0,Weißensee,1,1125
6055,none,52.52384,13.30816,Apartment,Entire home/apt,2,1.0,1.0,30.0,Charlottenburg,3,1125
6056,none,52.48259,13.44404,Apartment,Private room,2,1.0,1.0,17.0,Neukölln,4,1125
6057,none,52.51396,13.461979999999999,Apartment,Entire home/apt,2,1.0,1.0,22.0,Friedrichshain,1,1125
6058,none,52.539280000000005,13.418339999999999,Apartment,Private room,4,1.0,2.0,91.0,Prenzlauer Berg,2,1125
6061,none,52.4821,13.352129999999999,Apartment,Private room,2,1.0,1.0,28.0,Schöneberg,2,1125
6062,none,52.481190000000005,13.4273,Apartment,Private room,3,1.0,1.0,26.0,Neukölln,1,1125
